id,name,lat,lon,rating,preference
1,Trần Quang Tùng,10.77659,106.643804,4.4,Im lặng
2,Hoàng Ngọc Hiếu,10.767679,106.725298,4.2,Im lặng
3,Đặng Hữu Nam,10.806504,106.686964,4.9,Im lặng
4,Phạm Văn Cường,10.769361,106.712439,4.4,Trò chuyện
5,Ngô Minh Bảo,10.814044,106.654086,3.9,Im lặng
6,Phạm Văn Phong,10.844967,106.713852,4.4,Im lặng
7,Ngô Ngọc Huy,10.832455,106.66556,4.5,Im lặng
8,Võ Thị Bình,10.845339,106.65912,4.0,Trò chuyện
9,Trần Đức Hiếu,10.802207,106.62851,3.6,Im lặng
10,Lý Anh Nam,10.711303,106.67087,4.9,Im lặng
11,Hoàng Quang Dũng,10.822582,106.653867,4.2,Im lặng
12,Huỳnh Minh Trung,10.797808,106.619615,5.0,Im lặng
13,Bùi Thị Việt,10.770895,106.706684,4.5,Trò chuyện
14,Nguyễn Đức Long,10.790297,106.684538,4.1,Im lặng
15,Vũ Đức Long,10.784767,106.749923,5.0,Trò chuyện
16,Phạm Hữu Bình,10.846845,106.731351,3.9,Im lặng
17,Ngô Đức Thịnh,10.702801,106.671465,4.6,Trò chuyện
18,Trần Hữu Dũng,10.700828,106.742822,4.2,Trò chuyện
19,Phan Anh Dũng,10.742822,106.614523,4.7,Trò chuyện
20,Hồ Minh Bình,10.727909,106.738248,4.6,Trò chuyện
21,Huỳnh Hữu Quân,10.810815,106.641767,4.3,Im lặng
22,Phan Anh Thịnh,10.765397,106.731789,4.0,Im lặng
23,Lê Quang Phú,10.839491,106.605105,4.2,Im lặng
24,Bùi Đức Bảo,10.79222,106.687272,4.4,Im lặng
25,Dương Đức Vinh,10.743544,106.643661,4.5,Im lặng
26,Trần Thị Thịnh,10.804533,106.665985,4.3,Im lặng
27,Phạm Thị Trí,10.760574,106.643501,4.2,Trò chuyện
28,Đặng Minh Thịnh,10.749334,106.706671,4.5,Im lặng
29,Nguyễn Anh Phúc,10.801204,106.742278,4.6,Trò chuyện
30,Đỗ Quang Trung,10.730121,106.629391,3.9,Im lặng
31,Đỗ Anh Quang,10.805815,106.733804,4.9,Im lặng
32,Huỳnh Ngọc Phong,10.781239,106.627845,4.4,Trò chuyện
33,Võ Quang Tuấn,10.78305,106.68843,3.5,Trò chuyện
34,Lý Anh Phú,10.738743,106.710984,4.4,Im lặng
35,Bùi Thị Nghĩa,10.848929,106.609196,4.5,Trò chuyện
36,Phạm Hữu Lâm,10.741681,106.739058,4.0,Trò chuyện
37,Nguyễn Ngọc Cường,10.754042,106.638471,4.4,Trò chuyện
38,Ngô Thị Bảo,10.75017,106.668351,3.9,Trò chuyện
39,Lê Văn Lâm,10.837712,106.705011,4.4,Trò chuyện
40,Vũ Anh Tuấn,10.823337,106.740784,3.5,Trò chuyện
41,Phan Thị Khoa,10.749863,106.733667,4.3,Im lặng
42,Hoàng Thị Lâm,10.775348,106.66486,4.1,Trò chuyện
43,Lê Đức Nam,10.799347,106.631016,4.0,Trò chuyện
44,Phan Hữu Trí,10.739998,106.733868,4.3,Trò chuyện
45,Hồ Hữu Lâm,10.829463,106.664187,3.7,Im lặng
46,Đỗ Anh Trung,10.724276,106.74653,4.0,Trò chuyện
47,Nguyễn Hữu Nam,10.821283,106.71248,3.9,Im lặng
48,Võ Hữu Khoa,10.739831,106.739571,4.3,Trò chuyện
49,Đặng Quang Hiếu,10.842275,106.748261,4.9,Im lặng
50,Trần Văn Việt,10.787305,106.619159,4.2,Im lặng
51,Võ Thị Huy,10.811644,106.704532,4.2,Im lặng
52,Hoàng Văn Bình,10.825913,106.625284,3.9,Trò chuyện
53,Lý Đức Quang,10.819337,106.717833,4.4,Trò chuyện
54,Phan Minh Tuấn,10.78884,106.627456,4.1,Trò chuyện
55,Dương Quang Hiếu,10.714958,106.697712,4.2,Trò chuyện
56,Bùi Văn Lâm,10.766171,106.731698,4.7,Trò chuyện
57,Vũ Ngọc Hải,10.731157,106.675616,4.1,Trò chuyện
58,Huỳnh Thị Cường,10.763487,106.746443,4.1,Im lặng
